# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 13757        1 0.28778 0.28900 40.82600  0.13890  0.00000  0.04409
SN: 13796        1 0.14749 0.14872 39.06611  0.16840  0.00000  0.01941
SN: 13813        1 0.23539 0.23646 40.41154  0.17460  0.00000  0.01015
SN: 13830        1 0.33029 0.33151 41.01967  0.12890  0.00000  0.03721
SN: 13835        1 0.24637 0.24754 40.45520  0.11560  0.00000  0.03180
SN: 13836        1 0.37319 0.37435 41.29704  0.12700  0.00000  0.06524
SN: 13840        1 0.24089 0.24190 40.01297  0.16240  0.00000  0.02496
SN: 13864        1 0.29966 0.30089 40.96945  0.12400  0.00000  0.02668
SN: 13894        1 0.11981 0.12100 38.79395  0.29370  0.00000  0.07113
SN: 13896        1 0.15611 0.15730 39.89584  0.25290  0.00000  0.04200
SN: 13904        1 0.21658 0.21775 40.28254  0.18970  0.00000  0.01523
SN: 13907        1 0.19608 0.19718 39.79437  0.18860  0.00000  0.04006
SN: 13908        1 0.23875 0.23984 40.55292  0.16880  0.00000  0.01365
SN: 13909        1 0.29224 0.29332 41.05991  0.13060  0.00000  0.04196
SN: 13934        1 0.32973 0.33095 41.55259  0.18890  0.00000  0.04827
SN: 1395         1 0.18520 0.18642 39.62034  0.19050  0.00000  0.02071
SN: 14019        1 0.21535 0.21640 40.50042  0.18730  0.00000  0.01542
SN: 14024        1 0.14493 0.14600 39.15727  0.21650  0.00000  0.03946
SN: 14074        1 0.26071 0.26193 40.80195  0.20480  0.00000  0.06366
SN: 14108        1 0.13250 0.13300 39.26069  0.19330  0.00000  0.02554
SN: 14113        1 0.24149 0.24243 40.02722  0.21460  0.00000  0.10634
SN: 14147        1 0.27338 0.27422 40.79704  0.17180  0.00000  0.05348
SN: 1415         1 0.21074 0.21191 39.88737  0.22580  0.00000  0.04562
SN: 14157        1 0.21094 0.21150 39.85577  0.19330  0.00000  0.01897
SN: 14186        1 0.31199 0.31320 40.86118  0.14530  0.00000  0.03932
SN: 14205        1 0.25261 0.25368 40.28751  0.17360  0.00000  0.02549
SN: 14212        1 0.20332 0.20449 39.97081  0.16080  0.00000  0.01497
SN: 14261        1 0.28469 0.28584 40.60837  0.14500  0.00000  0.02654
SN: 14298        1 0.26097 0.26200 40.62115  0.15480  0.00000  0.01859
