VARNAMES: CID HOSTGAL_LOGMASS
SN: PSc030010 -9
SN: PSc030013 10.37
SN: PSc030061 10.55
SN: PSc030063 10.841
SN: PSc030064 9.068
SN: PSc030065 9.373
SN: PSc030066 8.648
SN: PSc030068 10.972
SN: PSc030077 10.951
SN: PSc030084 11.5
SN: PSc030105 9.502
SN: PSc030129 10.562
SN: PSc030130 9.134
SN: PSc030164 9.655
SN: PSc030173 9.925
SN: PSc030178 9.738
SN: PSc030180 8.923
SN: PSc030185 9.657
SN: PSc030211 8.39
SN: PSc030216 10.384
SN: PSc030224 9.148
SN: PSc030232 11.076
SN: PSc030245 9.66
SN: PSc030252 8.446
SN: PSc030255 8.778
SN: PSc030263 9.615
SN: PSc030268 8.818
SN: PSc030279 10.081
SN: PSc030280 10.085
SN: PSc040001 9.3
SN: PSc040006 9.66
SN: PSc040042 9.256
SN: PSc040051 9.791
SN: PSc040088 9.753
SN: PSc040098 10.082
SN: PSc040111 10.24
SN: PSc040121 8.779
SN: PSc040122 6.503
SN: PSc040129 10.799
SN: PSc040130 9.107
SN: PSc040137 8.167
SN: PSc040139 9.88
SN: PSc040146 9.737
SN: PSc040147 9.706
SN: PSc040150 8.115
SN: PSc040151 10.906
SN: PSc040152 8.02
SN: PSc040153 10.907
SN: PSc040163 9.223
SN: PSc040165 10.264
SN: PSc040166 8.542
SN: PSc040168 10.409
SN: PSc040169 10.234
SN: PSc040170 10.999
SN: PSc040174 9.901
SN: PSc040176 10.501
SN: PSc040185 -9
SN: PSc040192 -9
SN: PSc040195 -9
SN: PSc040196 -9
SN: PSc040198 9.128
SN: PSc040204 5.376
SN: PSc040301 9.954
SN: PSc040308 10.245
SN: PSc040313 9.371
SN: PSc040316 10.163
SN: PSc040318 10.148
SN: PSc040326 10.111
SN: PSc040343 10.457
SN: PSc040353 10.095
SN: PSc040355 -9
SN: PSc040363 11.129
SN: PSc040377 9.295
SN: PSc040382 11.443
SN: PSc040412 -9
SN: PSc040413 10.258
SN: PSc040421 9.931
SN: PSc040434 10.435
SN: PSc040436 10.882
SN: PSc040445 9.112
SN: PSc040459 10.815
SN: PSc040473 10.486
SN: PSc040477 10.521
SN: PSc040479 9.501
SN: PSc040511 10.921
SN: PSc040512 10.218
SN: PSc040530 9.187
SN: PSc040540 11.233
SN: PSc040542 10.379
SN: PSc040545 8.853
SN: PSc040548 8.374
SN: PSc040554 9.745
SN: PSc040555 -9
SN: PSc040561 7.675
SN: PSc040571 10.392
SN: PSc040573 9.984
SN: PSc040591 10.464
