VARNAMES: SALT2c LOGMASS PROB
PDF: 0.360 8.00 0.000
PDF: 0.370 8.00 0.000
PDF: 0.380 8.00 0.000
PDF: 0.390 8.00 0.000
PDF: 0.400 8.00 0.000
PDF: 0.410 8.00 0.000
PDF: 0.420 8.00 0.000
PDF: 0.430 8.00 0.000
PDF: 0.440 8.00 0.000
PDF: 0.450 8.00 0.000
PDF: 0.460 8.00 0.000
PDF: 0.470 8.00 0.000
PDF: 0.480 8.00 0.000
PDF: 0.490 8.00 0.000
PDF: -0.500 8.20 0.000
PDF: -0.490 8.20 0.000
PDF: -0.480 8.20 0.000
PDF: -0.470 8.20 0.000
PDF: -0.460 8.20 0.000
PDF: -0.450 8.20 0.000
PDF: -0.440 8.20 0.000
PDF: -0.430 8.20 0.000
PDF: -0.420 8.20 0.000
PDF: -0.410 8.20 0.000
PDF: -0.400 8.20 0.000
PDF: -0.390 8.20 0.000
PDF: -0.380 8.20 0.000
PDF: -0.370 8.20 0.000
PDF: -0.360 8.20 0.000
PDF: -0.350 8.20 0.000
PDF: -0.340 8.20 0.000
PDF: -0.330 8.20 0.000
PDF: -0.320 8.20 0.000
PDF: -0.310 8.20 0.000
PDF: -0.300 8.20 0.000
PDF: -0.290 8.20 0.000
PDF: -0.280 8.20 0.000
PDF: -0.270 8.20 0.000
PDF: -0.260 8.20 0.000
PDF: -0.250 8.20 0.000
PDF: -0.240 8.20 0.000
PDF: -0.230 8.20 0.000
PDF: -0.220 8.20 0.000
PDF: -0.210 8.20 0.000
PDF: -0.200 8.20 0.000
PDF: -0.190 8.20 0.000
PDF: -0.180 8.20 0.001
PDF: -0.170 8.20 0.003
PDF: -0.160 8.20 0.007
PDF: -0.150 8.20 0.015
PDF: -0.140 8.20 0.031
PDF: -0.130 8.20 0.061
PDF: -0.120 8.20 0.110
PDF: -0.110 8.20 0.186
PDF: -0.100 8.20 0.292
PDF: -0.090 8.20 0.427
PDF: -0.080 8.20 0.583
PDF: -0.070 8.20 0.742
PDF: -0.060 8.20 0.879
PDF: -0.050 8.20 0.971
PDF: -0.040 8.20 1.000
PDF: -0.030 8.20 0.984
PDF: -0.020 8.20 0.944
PDF: -0.010 8.20 0.880
PDF: 0.000 8.20 0.800
PDF: 0.010 8.20 0.708
PDF: 0.020 8.20 0.609
PDF: 0.030 8.20 0.511
PDF: 0.040 8.20 0.417
PDF: 0.050 8.20 0.332
PDF: 0.060 8.20 0.257
PDF: 0.070 8.20 0.193
PDF: 0.080 8.20 0.142
PDF: 0.090 8.20 0.101
PDF: 0.100 8.20 0.070
PDF: 0.110 8.20 0.048
PDF: 0.120 8.20 0.031
PDF: 0.130 8.20 0.020
PDF: 0.140 8.20 0.013
PDF: 0.150 8.20 0.008
PDF: 0.160 8.20 0.005
PDF: 0.170 8.20 0.003
PDF: 0.180 8.20 0.001
PDF: 0.190 8.20 0.001
