VARNAMES: SALT2c LOGMASS PROB
PDF: 0.360 8.60 0.000
PDF: 0.370 8.60 0.000
PDF: 0.380 8.60 0.000
PDF: 0.390 8.60 0.000
PDF: 0.400 8.60 0.000
PDF: 0.410 8.60 0.000
PDF: 0.420 8.60 0.000
PDF: 0.430 8.60 0.000
PDF: 0.440 8.60 0.000
PDF: 0.450 8.60 0.000
PDF: 0.460 8.60 0.000
PDF: 0.470 8.60 0.000
PDF: 0.480 8.60 0.000
PDF: 0.490 8.60 0.000
PDF: -0.500 8.80 0.000
PDF: -0.490 8.80 0.000
PDF: -0.480 8.80 0.000
PDF: -0.470 8.80 0.000
PDF: -0.460 8.80 0.000
PDF: -0.450 8.80 0.000
PDF: -0.440 8.80 0.000
PDF: -0.430 8.80 0.000
PDF: -0.420 8.80 0.000
PDF: -0.410 8.80 0.000
PDF: -0.400 8.80 0.000
PDF: -0.390 8.80 0.000
PDF: -0.380 8.80 0.000
PDF: -0.370 8.80 0.000
PDF: -0.360 8.80 0.000
PDF: -0.350 8.80 0.000
PDF: -0.340 8.80 0.000
PDF: -0.330 8.80 0.000
PDF: -0.320 8.80 0.000
PDF: -0.310 8.80 0.000
PDF: -0.300 8.80 0.000
PDF: -0.290 8.80 0.000
PDF: -0.280 8.80 0.000
PDF: -0.270 8.80 0.000
PDF: -0.260 8.80 0.000
PDF: -0.250 8.80 0.000
PDF: -0.240 8.80 0.000
PDF: -0.230 8.80 0.001
PDF: -0.220 8.80 0.001
PDF: -0.210 8.80 0.002
PDF: -0.200 8.80 0.004
PDF: -0.190 8.80 0.007
PDF: -0.180 8.80 0.012
PDF: -0.170 8.80 0.019
PDF: -0.160 8.80 0.031
PDF: -0.150 8.80 0.049
PDF: -0.140 8.80 0.074
PDF: -0.130 8.80 0.109
PDF: -0.120 8.80 0.156
PDF: -0.110 8.80 0.216
PDF: -0.100 8.80 0.290
PDF: -0.090 8.80 0.376
PDF: -0.080 8.80 0.474
PDF: -0.070 8.80 0.579
PDF: -0.060 8.80 0.686
PDF: -0.050 8.80 0.787
PDF: -0.040 8.80 0.875
PDF: -0.030 8.80 0.944
PDF: -0.020 8.80 0.987
PDF: -0.010 8.80 1.000
PDF: 0.000 8.80 0.976
PDF: 0.010 8.80 0.914
PDF: 0.020 8.80 0.821
PDF: 0.030 8.80 0.707
PDF: 0.040 8.80 0.583
PDF: 0.050 8.80 0.462
PDF: 0.060 8.80 0.351
PDF: 0.070 8.80 0.255
PDF: 0.080 8.80 0.178
PDF: 0.090 8.80 0.119
PDF: 0.100 8.80 0.077
PDF: 0.110 8.80 0.047
PDF: 0.120 8.80 0.028
PDF: 0.130 8.80 0.016
PDF: 0.140 8.80 0.009
PDF: 0.150 8.80 0.004
PDF: 0.160 8.80 0.002
PDF: 0.170 8.80 0.001
PDF: 0.180 8.80 0.000
PDF: 0.190 8.80 0.000
PDF: 0.200 8.80 0.000
PDF: 0.210 8.80 0.000
PDF: 0.220 8.80 0.000
PDF: 0.230 8.80 0.000
PDF: 0.240 8.80 0.000
PDF: 0.250 8.80 0.000
PDF: 0.260 8.80 0.000
PDF: 0.270 8.80 0.000
PDF: 0.280 8.80 0.000
PDF: 0.290 8.80 0.000
PDF: 0.300 8.80 0.000
PDF: 0.310 8.80 0.000
PDF: 0.320 8.80 0.000
PDF: 0.330 8.80 0.000
PDF: 0.340 8.80 0.000
PDF: 0.350 8.80 0.000
PDF: 0.360 8.80 0.000
PDF: 0.370 8.80 0.000
PDF: 0.380 8.80 0.000
PDF: 0.390 8.80 0.000
PDF: 0.400 8.80 0.000
PDF: 0.410 8.80 0.000
PDF: 0.420 8.80 0.000
PDF: 0.430 8.80 0.000
PDF: 0.440 8.80 0.000
PDF: 0.450 8.80 0.000
PDF: 0.460 8.80 0.000
PDF: 0.470 8.80 0.000
PDF: 0.480 8.80 0.000
PDF: 0.490 8.80 0.000
PDF: -0.500 9.00 0.000
PDF: -0.490 9.00 0.000
PDF: -0.480 9.00 0.000
PDF: -0.470 9.00 0.000
PDF: -0.460 9.00 0.000
PDF: -0.450 9.00 0.000
PDF: -0.440 9.00 0.000
PDF: -0.430 9.00 0.000
PDF: -0.420 9.00 0.000
PDF: -0.410 9.00 0.000
PDF: -0.400 9.00 0.000
PDF: -0.390 9.00 0.000
PDF: -0.380 9.00 0.000
PDF: -0.370 9.00 0.000
PDF: -0.360 9.00 0.000
