DOCUMENTATION:
  PURPOSE: Search Efficiency vs SNR Curve for DES simulation
  INTENT:  Nominal
  USAGE_KEY:  SEARCHEFF_PIPELINE_EFF_FILE
  USAGE_CODE: snlc_sim.exe
  NOTES:
      - SCRIPTNAME: __main__
  VERSIONS:
      - DATE: 2022-12-01
      - CREATED_BY:  sanchezb
      - HOST_MACHINE: midway2-login2
DOCUMENTATION_END: 

# EFF vs SNR for DES
PHOTFLAG_DETECT: 4096

#MAPNAME_DETECT: EFF_DETECT_SNR_g
FILTER: g
SNR: 10.7 0.9997
SNR: 10.9 0.9998
SNR: 11.1 0.9998
SNR: 11.3 0.9999
SNR: 11.5 0.9999
SNR: 11.7 0.9999
SNR: 11.9 0.9999
SNR: 12.1 1.0
SNR: 12.3 1.0
SNR: 12.5 1.0
SNR: 12.7 1.0
SNR: 12.9 1.0
SNR: 13.1 1.0
SNR: 13.3 1.0
SNR: 13.5 1.0
SNR: 13.7 1.0
SNR: 13.9 1.0
SNR: 14.1 1.0
SNR: 14.3 1.0
SNR: 14.5 1.0
SNR: 14.7 1.0
SNR: 14.9 1.0
SNR: 100.0 1.0
ENDMAP:

#MAPNAME_DETECT: EFF_DETECT_SNR_z
FILTER: z
SNR: 0.1 0.0008
SNR: 0.3 0.0011
SNR: 0.5 0.0015
SNR: 0.7 0.002
SNR: 0.9 0.0026
SNR: 1.1 0.0035
SNR: 1.3 0.0047
SNR: 1.5 0.0062
SNR: 1.7 0.0083
SNR: 1.9 0.0111
SNR: 2.1 0.0148
SNR: 2.3 0.0196
SNR: 2.5 0.026
SNR: 2.7 0.0343
SNR: 2.9 0.0451
SNR: 3.1 0.0591
SNR: 3.3 0.077
SNR: 3.5 0.0996
SNR: 3.7 0.1277
SNR: 3.9 0.1618
SNR: 4.1 0.2023
SNR: 4.3 0.249
SNR: 4.5 0.301
SNR: 4.7 0.3569
SNR: 4.9 0.4145
SNR: 5.1 0.4715
SNR: 5.3 0.5257
SNR: 5.5 0.5752
SNR: 5.7 0.6188
SNR: 5.9 0.6562
SNR: 6.1 0.6871
SNR: 6.3 0.7124
SNR: 6.5 0.7325
SNR: 6.7 0.7483
SNR: 6.9 0.7606
SNR: 7.1 0.7702
SNR: 7.3 0.7774
SNR: 7.5 0.783
SNR: 7.7 0.7872
SNR: 7.9 0.7904
SNR: 8.1 0.991
SNR: 8.3 0.9932
SNR: 8.5 0.9949
SNR: 8.7 0.9962
SNR: 8.9 0.9971
SNR: 9.1 0.9979
SNR: 9.3 0.9984
SNR: 9.5 0.9988
SNR: 9.7 0.9991
SNR: 9.9 0.9993
SNR: 10.1 0.9995
SNR: 10.3 0.9996
SNR: 10.5 0.9997
SNR: 10.7 0.9998
SNR: 10.9 0.9998
SNR: 11.1 0.9999
SNR: 11.3 0.9999
SNR: 11.5 0.9999
SNR: 11.7 0.9999
SNR: 11.9 1.0
SNR: 12.1 1.0
SNR: 12.3 1.0
SNR: 12.5 1.0
SNR: 12.7 1.0
SNR: 12.9 1.0
SNR: 13.1 1.0
SNR: 13.3 1.0
SNR: 13.5 1.0
SNR: 13.7 1.0
SNR: 13.9 1.0
SNR: 14.1 1.0
SNR: 14.3 1.0
SNR: 14.5 1.0
SNR: 14.7 1.0
SNR: 14.9 1.0
SNR: 100.0 1.0
ENDMAP:
