# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 13757        1 0.28778 0.28900 40.82153  0.13820  0.00000  0.04150
SN: 13796        1 0.14749 0.14872 39.08112  0.16700  0.00000  0.03183
SN: 13813        1 0.23539 0.23646 40.40163  0.17630  0.00000  0.02026
SN: 13830        1 0.33029 0.33151 41.05423  0.13080  0.00000  0.05681
SN: 13835        1 0.24637 0.24754 40.46991  0.11320  0.00000  0.03664
SN: 13836        1 0.37319 0.37435 41.35059  0.12590  0.00000  0.10936
SN: 13840        1 0.24089 0.24190 40.00344  0.16060  0.00000  0.03247
SN: 13864        1 0.29966 0.30089 40.99749  0.12420  0.00000  0.04056
SN: 13894        1 0.11981 0.12100 38.84463  0.29420  0.00000  0.07426
SN: 13896        1 0.15611 0.15730 39.91176  0.25500  0.00000  0.05136
SN: 13904        1 0.21658 0.21775 40.30217  0.18980  0.00000  0.01330
SN: 13907        1 0.19608 0.19718 39.83213  0.18800  0.00000  0.03885
SN: 13908        1 0.23875 0.23984 40.57364  0.16950  0.00000  0.01056
SN: 13909        1 0.29224 0.29332 41.07111  0.13010  0.00000  0.04686
SN: 13934        1 0.32973 0.33095 41.54940  0.18890  0.00000  0.04173
SN: 1395         1 0.18520 0.18642 39.63768  0.19160  0.00000  0.03232
SN: 14019        1 0.21535 0.21640 40.50240  0.18650  0.00000  0.02276
SN: 14024        1 0.14493 0.14600 39.14640  0.21520  0.00000  0.08132
SN: 14074        1 0.26071 0.26193 40.83999  0.20530  0.00000  0.04222
SN: 14108        1 0.13250 0.13300 39.27333  0.19240  0.00000  0.03328
SN: 14113        1 0.24149 0.24243 40.05532  0.21660  0.00000  0.06684
SN: 14147        1 0.27338 0.27422 40.81084  0.16850  0.00000  0.06003
SN: 1415         1 0.21074 0.21191 39.94846  0.22390  0.00000  0.03372
SN: 14157        1 0.21094 0.21150 39.86894  0.17980  0.00000  0.02555
SN: 14186        1 0.31199 0.31320 40.89604  0.14800  0.00000  0.04467
SN: 14205        1 0.25261 0.25368 40.27773  0.17250  0.00000  0.03139
SN: 14212        1 0.20332 0.20449 39.97044  0.15960  0.00000  0.02823
SN: 14261        1 0.28469 0.28584 40.62157  0.14550  0.00000  0.02204
SN: 14298        1 0.26097 0.26200 40.63611  0.15390  0.00000  0.02762
SN: 14311        1 0.33501 0.33606 41.40720  0.14890  0.00000  0.06160
SN: 14317        1 0.17996 0.18100 39.45324  0.18030  0.00000  0.03161
SN: 14331        1 0.22004 0.22119 40.31731  0.17810  0.00000  0.01372
SN: 14343        1 0.34186 0.34305 41.03881  0.09640  0.00000  0.06261
SN: 14346        1 0.21213 0.21328 41.05514  0.31430  0.00000  0.04235
SN: 14375        1 0.32242 0.32321 40.90428  0.09830  0.00000  0.06781
SN: 14377        1 0.13880 0.13941 39.31549  0.18050  0.00000  0.04578
SN: 14389        1 0.23185 0.23281 40.61599  0.26500  0.00000  0.09084
SN: 14437        1 0.14811 0.14928 39.10914  0.13950  0.00000  0.01976
